date,park_id,ride,avg_queue_min,max_queue_min,uptime_pct
2023-01-21,160,Halve Maen,12.0,20.0,100.0
2023-01-21,160,Joris en de Draak,,,0.0
2023-01-21,160,Joris en de Draak Single-rider,,,0.0
2023-01-21,160,Kinderspoor,6.0,15.0,99.0
2023-01-21,160,Kindervreugd,,,99.0
2023-01-21,160,Kleuterhof,,,100.0
2023-01-21,160,Max & Moritz,12.0,30.0,10.0
2023-01-21,160,Max & Moritz Single-rider,,,0.0
2023-01-21,160,Monorail,27.0,45.0,99.0
2023-01-21,160,Nest!,,,41.0
2023-01-21,160,Pagode,19.0,35.0,68.0
2023-01-21,160,Piraña,,,0.0
2023-01-21,160,Python,35.0,50.0,99.0
2023-01-21,160,Python Single-rider,33.0,50.0,69.0
2023-01-21,160,Sirocco,14.0,20.0,100.0
2023-01-21,160,Stoomcarrousel,15.0,15.0,99.0
2023-01-21,160,Stoomtrein Marerijk,31.0,50.0,99.0
2023-01-21,160,Stoomtrein Ruigrijk,31.0,50.0,99.0
2023-01-21,160,Symbolica,42.0,50.0,99.0
2023-01-21,160,Symbolica Single-rider,15.0,20.0,98.0
2023-01-21,160,The Six Swans,8.0,20.0,96.0
2023-01-21,160,Villa Volta,16.0,40.0,100.0
2023-01-21,160,Vogel Rok,27.0,45.0,100.0
2023-01-21,160,Volkvanlaaf,,,99.0
2023-01-22,160,Anton Pieck Plein,,,99.0
2023-01-22,160,Archipel,,,0.0
2023-01-22,160,Badhuys indoor splash pool,,,100.0
2023-01-22,160,Baron 1898,37.0,65.0,100.0
2023-01-22,160,Baron 1898 Single-rider,29.0,45.0,98.0
2023-01-22,160,Carnaval Festival,35.0,45.0,92.0
2023-01-22,160,De Oude Tufferbaan,17.0,45.0,99.0
2023-01-22,160,De Vliegende Hollander,,,0.0
2023-01-22,160,De Vliegende Hollander Single-rider,,,0.0
2023-01-22,160,Diorama,,,99.0
2023-01-22,160,Droomvlucht,,,0.0
2023-01-22,160,Droomvlucht VR,,,0.0
2023-01-22,160,Efteling Museum,,,89.0
2023-01-22,160,Fabula,14.0,20.0,100.0
2023-01-22,160,Fairytale Forest,,,99.0
2023-01-22,160,Fata Morgana,31.0,65.0,100.0
2023-01-22,160,Gondoletta,5.0,5.0,72.0
2023-01-22,160,Halve Maen,10.0,15.0,99.0
2023-01-22,160,Joris en de Draak,,,0.0
2023-01-22,160,Joris en de Draak Single-rider,,,0.0
2023-01-22,160,Kinderspoor,9.0,10.0,99.0
